Name,Rating,Address,Food Keywords
Mango.Mango Fresh and Healthy,4.3,"4530 Bonita Rd, Bonita","restaurant, food, store, point_of_interest, establishment"
Greens Please Wellness Kitchen,4.6,"12202 Poway Rd #100, Poway","restaurant, food, point_of_interest, establishment"
sweetgreen,4.2,"7750 El Camino Real Suite A, Carlsbad","meal_takeaway, restaurant, food, point_of_interest, establishment"
mangolicious fresh and healthy,4.1,"2434 Southport Way #J, National City","restaurant, food, point_of_interest, establishment"
Fresheria - Be Fresh San Diego,4.4,"4687 Logan Ave, San Diego","restaurant, meal_delivery, cafe, food, point_of_interest, store, establishment"
Sweet And Green,4.7,"484 E Main St, El Cajon","restaurant, food, point_of_interest, establishment"
Freshería - La Jolla,4.3,"627 Pearl St, La Jolla","restaurant, cafe, food, store, point_of_interest, establishment"
Local Greens,4.2,"124 Lomas Santa Fe Dr #104, Solana Beach","restaurant, food, point_of_interest, establishment"
Crafted Greens,4.8,"745 Jamacha Rd, El Cajon","restaurant, food, point_of_interest, establishment"
Second Nature,4.4,"5026 Cass St, San Diego","bar, restaurant, food, point_of_interest, establishment"
Flower Child,4.5,"2690 Via De La Valle, Del Mar","restaurant, food, point_of_interest, establishment"
True Food Kitchen,4.5,"7007 Friars Rd Suite 394, San Diego","meal_takeaway, restaurant, food, point_of_interest, establishment"
Joya Kitchen,4.3,"10275 Science Center Dr, San Diego","restaurant, food, point_of_interest, establishment"
East Village Nutrition,4.7,"304 Eleventh Ave, San Diego","restaurant, food, point_of_interest, establishment"
Lotus Cafe & Juice Bar,4.5,"765 S Coast Hwy 101, Encinitas","restaurant, food, point_of_interest, establishment"
Healthy Creations Cafe,4.7,"376 N El Camino Real, Encinitas","cafe, restaurant, food, point_of_interest, establishment"
moonbowls (Healthy Korean Bowls- Boston Ave),4,"2707 Boston Ave, San Diego","restaurant, food, point_of_interest, establishment"
Fruit Fresh Superfood Delights,4.6,"306 W E El Norte Pkwy Suite G, Escondido","restaurant, food, point_of_interest, establishment"
Urbane Cafe,4.6,"5375 Napa St, San Diego","meal_takeaway, restaurant, food, point_of_interest, establishment"
Urbane Cafe,4.6,"120 Fletcher Pkwy #115, El Cajon","meal_takeaway, restaurant, food, point_of_interest, establishment"
